sentences,result
Tom took a plate from kitchen and put it on dining table.Tom toasted the bread.Tom ate bread with milk and finished his breakfast.Tom mixed some nuts in a cup of hot milk.Tom applied butter on toasted breads and placed it on plate.,implausible
Tom took a plate from kitchen and put it on dining table.Tom toasted the bread.Tom applied butter on toasted breads and placed it on plate.Tom mixed some nuts in a cup of hot milk.Tom ate bread with milk and finished his breakfast.,implausible
Tom took a plate from kitchen and put it on dining table.Tom toasted the bread.Tom applied butter on toasted breads and placed it on plate.Tom ate bread with milk and finished his breakfast.Tom mixed some nuts in a cup of hot milk.,implausible
Tom took a plate from kitchen and put it on dining table.Tom toasted the bread.Tom applied butter on toasted breads and placed it on plate.Tom mixed some nuts in a cup of hot milk.Tom ate bread with milk and finished his breakfast.,implausible
Tom applied butter on toasted breads and placed it on plate.Tom toasted the bread.Tom took a plate from kitchen and put it on dining table.Tom mixed some nuts in a cup of hot milk.Tom ate bread with milk and finished his breakfast.,implausible
Tom took a plate from kitchen and put it on dining table.Tom toasted the bread.Tom applied butter on toasted breads and placed it on plate.Tom mixed some nuts in a cup of hot milk.Tom ate bread with milk and finished his breakfast.,implausible
Ann peeled and ate the entire cucumber.Ann took a carton of milk and a cucumber from the fridge.Ann poured milk into her glass.Ann carried the milk into the living room.Ann drank the glass of milk.,implausible
Ann took a carton of milk and a cucumber from the fridge.Ann peeled and ate the entire cucumber.Ann poured milk into her glass.Ann carried the milk into the living room.Ann drank the glass of milk.,plausible
Ann took a carton of milk and a cucumber from the fridge.Ann peeled and ate the entire cucumber.Ann poured milk into her glass.Ann drank the glass of milk.Ann carried the milk into the living room.,plausible
Ann took a carton of milk and a cucumber from the fridge.Ann peeled and ate the entire cucumber.Ann poured milk into her glass.Ann carried the milk into the living room.Ann drank the glass of milk.,plausible
Ann poured milk into her glass.Ann peeled and ate the entire cucumber.Ann took a carton of milk and a cucumber from the fridge.Ann carried the milk into the living room.Ann drank the glass of milk.,implausible
Ann took a carton of milk and a cucumber from the fridge.Ann peeled and ate the entire cucumber.Ann poured milk into her glass.Ann carried the milk into the living room.Ann drank the glass of milk.,plausible
Ann took a carton of milk and a cucumber from the fridge.Ann peeled and ate the entire cucumber.Ann drank the glass of milk.Ann carried the milk into the living room.Ann poured milk into her glass.,implausible
Ann took a carton of milk and a cucumber from the fridge.Ann peeled and ate the entire cucumber.Ann poured milk into her glass.Ann carried the milk into the living room.Ann drank the glass of milk.,plausible
John took the stapler from the drawer.John arrived at work and sat in his chair.John stapled several pages together.John threw the notebook in the dustbin.John typed on his computer.,implausible
John arrived at work and sat in his chair.John took the stapler from the drawer.John stapled several pages together.John threw the notebook in the dustbin.John typed on his computer.,plausible
John stapled several pages together.John took the stapler from the drawer.John arrived at work and sat in his chair.John threw the notebook in the dustbin.John typed on his computer.,implausible
John arrived at work and sat in his chair.John took the stapler from the drawer.John stapled several pages together.John threw the notebook in the dustbin.John typed on his computer.,plausible
John arrived at work and sat in his chair.John stapled several pages together.John took the stapler from the drawer.John threw the notebook in the dustbin.John typed on his computer.,implausible
John arrived at work and sat in his chair.John took the stapler from the drawer.John stapled several pages together.John threw the notebook in the dustbin.John typed on his computer.,plausible
John locked the window.John unplugged the TV.John walked outside with his flip-flops on.John closed up his suitcase.John turned off the fan.,implausible
John locked the window.John unplugged the TV.John turned off the fan.John closed up his suitcase.John walked outside with his flip-flops on.,implausible
John locked the window.John walked outside with his flip-flops on.John turned off the fan.John closed up his suitcase.John unplugged the TV.,implausible
John locked the window.John unplugged the TV.John turned off the fan.John closed up his suitcase.John walked outside with his flip-flops on.,implausible
Ann put her shorts in the washing machine.Ann took off her shorts.Ann picked up a toothbrush.Ann put toothpaste on the toothbrush.Ann brushed her teeth with the toothbrush.,plausible
Ann took off her shorts.Ann put her shorts in the washing machine.Ann picked up a toothbrush.Ann put toothpaste on the toothbrush.Ann brushed her teeth with the toothbrush.,plausible
Ann took off her shorts.Ann put her shorts in the washing machine.Ann picked up a toothbrush.Ann brushed her teeth with the toothbrush.Ann put toothpaste on the toothbrush.,implausible
Ann took off her shorts.Ann put her shorts in the washing machine.Ann picked up a toothbrush.Ann put toothpaste on the toothbrush.Ann brushed her teeth with the toothbrush.,plausible
Ann took off her shorts.Ann put her shorts in the washing machine.Ann brushed her teeth with the toothbrush.Ann put toothpaste on the toothbrush.Ann picked up a toothbrush.,implausible
Ann took off her shorts.Ann put her shorts in the washing machine.Ann picked up a toothbrush.Ann put toothpaste on the toothbrush.Ann brushed her teeth with the toothbrush.,plausible
Scott put his deflated football back in the duffle bag.Scott sat on the bench to rest.Scott played football so long the ball burst open.Scott drank some water.Scott changed his shoes and went home.,implausible
Scott played football so long the ball burst open.Scott sat on the bench to rest.Scott put his deflated football back in the duffle bag.Scott drank some water.Scott changed his shoes and went home.,plausible
Scott changed his shoes and went home.Scott sat on the bench to rest.Scott put his deflated football back in the duffle bag.Scott drank some water.Scott played football so long the ball burst open.,implausible
Scott played football so long the ball burst open.Scott sat on the bench to rest.Scott put his deflated football back in the duffle bag.Scott drank some water.Scott changed his shoes and went home.,plausible
John pumped the soccer ball with air.John took his soccer ball out of the duffle bag.John put the soccer ball on the ground.John kicked the soccer ball to his friend.John put his duffle bag under the tree.,implausible
John took his soccer ball out of the duffle bag.John pumped the soccer ball with air.John put the soccer ball on the ground.John kicked the soccer ball to his friend.John put his duffle bag under the tree.,plausible
John took his soccer ball out of the duffle bag.John kicked the soccer ball to his friend.John put the soccer ball on the ground.John pumped the soccer ball with air.John put his duffle bag under the tree.,implausible
John took his soccer ball out of the duffle bag.John pumped the soccer ball with air.John put the soccer ball on the ground.John kicked the soccer ball to his friend.John put his duffle bag under the tree.,plausible
John took his soccer ball out of the duffle bag.John pumped the soccer ball with air.John kicked the soccer ball to his friend.John put the soccer ball on the ground.John put his duffle bag under the tree.,plausible
John took his soccer ball out of the duffle bag.John pumped the soccer ball with air.John put the soccer ball on the ground.John kicked the soccer ball to his friend.John put his duffle bag under the tree.,plausible
John kicked the soccer ball to his friend.John pumped the soccer ball with air.John put the soccer ball on the ground.John took his soccer ball out of the duffle bag.John put his duffle bag under the tree.,implausible
John took his soccer ball out of the duffle bag.John pumped the soccer ball with air.John put the soccer ball on the ground.John kicked the soccer ball to his friend.John put his duffle bag under the tree.,plausible
John put the soccer ball on the ground.John pumped the soccer ball with air.John took his soccer ball out of the duffle bag.John kicked the soccer ball to his friend.John put his duffle bag under the tree.,implausible
John took his soccer ball out of the duffle bag.John pumped the soccer ball with air.John put the soccer ball on the ground.John kicked the soccer ball to his friend.John put his duffle bag under the tree.,plausible
Tom picked up the bracelet and put it on the coffee table.Tom opened a window and turned on the fan.Tom looked down on the ground and saw his wife's bracelet.Tom walked into the house and put his baseball glove on the coffee table.Tom put a cold beer on the coffee table and sat down on the couch.,implausible
Tom walked into the house and put his baseball glove on the coffee table.Tom opened a window and turned on the fan.Tom looked down on the ground and saw his wife's bracelet.Tom picked up the bracelet and put it on the coffee table.Tom put a cold beer on the coffee table and sat down on the couch.,plausible
Tom walked into the house and put his baseball glove on the coffee table.Tom opened a window and turned on the fan.Tom picked up the bracelet and put it on the coffee table.Tom looked down on the ground and saw his wife's bracelet.Tom put a cold beer on the coffee table and sat down on the couch.,plausible
Tom walked into the house and put his baseball glove on the coffee table.Tom opened a window and turned on the fan.Tom looked down on the ground and saw his wife's bracelet.Tom picked up the bracelet and put it on the coffee table.Tom put a cold beer on the coffee table and sat down on the couch.,plausible
Tom put a cold beer on the coffee table and sat down on the couch.Tom opened a window and turned on the fan.Tom looked down on the ground and saw his wife's bracelet.Tom picked up the bracelet and put it on the coffee table.Tom walked into the house and put his baseball glove on the coffee table.,implausible
Tom walked into the house and put his baseball glove on the coffee table.Tom opened a window and turned on the fan.Tom looked down on the ground and saw his wife's bracelet.Tom picked up the bracelet and put it on the coffee table.Tom put a cold beer on the coffee table and sat down on the couch.,plausible
Tom turned on the stove.Tom cooked some eggs.Tom put the pan on the stove.Tom ate the eggs on the counter.Tom put ice cubes in his water.,implausible
Tom turned on the stove.Tom put the pan on the stove.Tom cooked some eggs.Tom ate the eggs on the counter.Tom put ice cubes in his water.,plausible
Tom turned on the stove.Tom put the pan on the stove.Tom ate the eggs on the counter.Tom cooked some eggs.Tom put ice cubes in his water.,implausible
Tom turned on the stove.Tom put the pan on the stove.Tom cooked some eggs.Tom ate the eggs on the counter.Tom put ice cubes in his water.,plausible
Tom cooked some eggs.Tom put the pan on the stove.Tom turned on the stove.Tom ate the eggs on the counter.Tom put ice cubes in his water.,implausible
Tom turned on the stove.Tom put the pan on the stove.Tom cooked some eggs.Tom ate the eggs on the counter.Tom put ice cubes in his water.,plausible
Mary looked around her living room.Mary cleaned every corner of the living room.Mary shifted the objects to one side.Mary decided to vacuum the living room.Mary replaced all the objects to their original places.,implausible
Mary looked around her living room.Mary decided to vacuum the living room.Mary shifted the objects to one side.Mary cleaned every corner of the living room.Mary replaced all the objects to their original places.,implausible
Mary looked around her living room.Mary decided to vacuum the living room.Mary cleaned every corner of the living room.Mary shifted the objects to one side.Mary replaced all the objects to their original places.,plausible
Mary looked around her living room.Mary decided to vacuum the living room.Mary shifted the objects to one side.Mary cleaned every corner of the living room.Mary replaced all the objects to their original places.,implausible
Mary looked around her living room.Mary decided to vacuum the living room.Mary replaced all the objects to their original places.Mary cleaned every corner of the living room.Mary shifted the objects to one side.,implausible
Mary looked around her living room.Mary decided to vacuum the living room.Mary shifted the objects to one side.Mary cleaned every corner of the living room.Mary replaced all the objects to their original places.,implausible
"Tom places the jack under his car.Tom watches as the front of his car slowly rises.Tom grabs the handle and begins moving it up and down.Tom places the container under the oil drain of his car.Tom lays on a skateboard and slides under his car, near the container.",implausible
"Tom places the jack under his car.Tom grabs the handle and begins moving it up and down.Tom watches as the front of his car slowly rises.Tom places the container under the oil drain of his car.Tom lays on a skateboard and slides under his car, near the container.",implausible
"Tom places the jack under his car.Tom grabs the handle and begins moving it up and down.Tom lays on a skateboard and slides under his car, near the container.Tom places the container under the oil drain of his car.Tom watches as the front of his car slowly rises.",plausible
"Tom places the jack under his car.Tom grabs the handle and begins moving it up and down.Tom watches as the front of his car slowly rises.Tom places the container under the oil drain of his car.Tom lays on a skateboard and slides under his car, near the container.",implausible
John had a beautiful blue bathtub in his bathroom.John grabbed a soap bar from the cabinet.John reached into his cabinet to get out items for his bath.John accidentally spilled an open container of bleach onto the floor and stepped in it.John quickly took off his socks to avoid getting burned.,plausible
John had a beautiful blue bathtub in his bathroom.John reached into his cabinet to get out items for his bath.John grabbed a soap bar from the cabinet.John accidentally spilled an open container of bleach onto the floor and stepped in it.John quickly took off his socks to avoid getting burned.,implausible
John had a beautiful blue bathtub in his bathroom.John reached into his cabinet to get out items for his bath.John grabbed a soap bar from the cabinet.John quickly took off his socks to avoid getting burned.John accidentally spilled an open container of bleach onto the floor and stepped in it.,implausible
John had a beautiful blue bathtub in his bathroom.John reached into his cabinet to get out items for his bath.John grabbed a soap bar from the cabinet.John accidentally spilled an open container of bleach onto the floor and stepped in it.John quickly took off his socks to avoid getting burned.,implausible
John was cleaning the bathtub.John took the bleach out of the cabinet.John opened the cabinet.John opened the bleach.John poured the bleach into the bathtub.,implausible
John was cleaning the bathtub.John opened the cabinet.John took the bleach out of the cabinet.John opened the bleach.John poured the bleach into the bathtub.,implausible
John was cleaning the bathtub.John opened the cabinet.John took the bleach out of the cabinet.John poured the bleach into the bathtub.John opened the bleach.,implausible
John was cleaning the bathtub.John opened the cabinet.John took the bleach out of the cabinet.John opened the bleach.John poured the bleach into the bathtub.,implausible
John was cleaning the bathtub.John opened the cabinet.John opened the bleach.John took the bleach out of the cabinet.John poured the bleach into the bathtub.,implausible
John was cleaning the bathtub.John opened the cabinet.John took the bleach out of the cabinet.John opened the bleach.John poured the bleach into the bathtub.,implausible
Ann turned on the light.Ann walked in the door of her house.Ann took off her coat and sat on the couch.Ann called her friend on the phone.Ann hung up the phone and began cooking dinner.,plausible
Ann walked in the door of her house.Ann turned on the light.Ann took off her coat and sat on the couch.Ann called her friend on the phone.Ann hung up the phone and began cooking dinner.,plausible
Ann walked in the door of her house.Ann turned on the light.Ann took off her coat and sat on the couch.Ann hung up the phone and began cooking dinner.Ann called her friend on the phone.,implausible
Ann walked in the door of her house.Ann turned on the light.Ann took off her coat and sat on the couch.Ann called her friend on the phone.Ann hung up the phone and began cooking dinner.,plausible
Ann took off her coat and sat on the couch.Ann turned on the light.Ann walked in the door of her house.Ann called her friend on the phone.Ann hung up the phone and began cooking dinner.,plausible
Ann walked in the door of her house.Ann turned on the light.Ann took off her coat and sat on the couch.Ann called her friend on the phone.Ann hung up the phone and began cooking dinner.,plausible
Ann was standing next to the coffee machine on the table at work.Ann grabbed her book and made a copy of one of the pages on the copier.Ann sat at her desk and moved the stapler next to the phone.Ann put the scissors and stapler in a box and put them in a drawer.Ann took a pair of scissors and cut a picture out of a magazine to scan into the computer.,implausible
Ann was standing next to the coffee machine on the table at work.Ann grabbed her book and made a copy of one of the pages on the copier.Ann sat at her desk and moved the stapler next to the phone.Ann took a pair of scissors and cut a picture out of a magazine to scan into the computer.Ann put the scissors and stapler in a box and put them in a drawer.,plausible
Ann was standing next to the coffee machine on the table at work.Ann grabbed her book and made a copy of one of the pages on the copier.Ann put the scissors and stapler in a box and put them in a drawer.Ann took a pair of scissors and cut a picture out of a magazine to scan into the computer.Ann sat at her desk and moved the stapler next to the phone.,implausible
Ann was standing next to the coffee machine on the table at work.Ann grabbed her book and made a copy of one of the pages on the copier.Ann sat at her desk and moved the stapler next to the phone.Ann took a pair of scissors and cut a picture out of a magazine to scan into the computer.Ann put the scissors and stapler in a box and put them in a drawer.,plausible
Tom packed his axe for the camping trip.Tom got out his hammer and finished the ramp.Tom used his drill to build a ramp.Tom realized he had a flat bicycle tire.Tom was not able to try out his bicycle tricks.,implausible
Tom packed his axe for the camping trip.Tom used his drill to build a ramp.Tom got out his hammer and finished the ramp.Tom realized he had a flat bicycle tire.Tom was not able to try out his bicycle tricks.,plausible
Tom packed his axe for the camping trip.Tom used his drill to build a ramp.Tom got out his hammer and finished the ramp.Tom was not able to try out his bicycle tricks.Tom realized he had a flat bicycle tire.,implausible
Tom packed his axe for the camping trip.Tom used his drill to build a ramp.Tom got out his hammer and finished the ramp.Tom realized he had a flat bicycle tire.Tom was not able to try out his bicycle tricks.,plausible
John closed the suitcase and took it off the table.John put his flip-flops in the suitcase.John closed the window.John turned off the fan.John took the suitcase to his car.,implausible
John put his flip-flops in the suitcase.John closed the suitcase and took it off the table.John closed the window.John turned off the fan.John took the suitcase to his car.,implausible
John put his flip-flops in the suitcase.John took the suitcase to his car.John closed the window.John turned off the fan.John closed the suitcase and took it off the table.,implausible
John put his flip-flops in the suitcase.John closed the suitcase and took it off the table.John closed the window.John turned off the fan.John took the suitcase to his car.,implausible
Tom cut up the watermelon.Tom ate a banana.Tom put the cup in the fridge.Tom put the watermelon in a cup.Tom grabbed a pan.,implausible
Tom cut up the watermelon.Tom ate a banana.Tom put the watermelon in a cup.Tom put the cup in the fridge.Tom grabbed a pan.,implausible
Tom sat by the window.Tom set the fan on the coffee table.Tom picked up his fan from the floor.Tom put on his gloves.Tom opened the door and went out the house.,implausible
Tom sat by the window.Tom picked up his fan from the floor.Tom set the fan on the coffee table.Tom put on his gloves.Tom opened the door and went out the house.,plausible
Tom sat by the window.Tom opened the door and went out the house.Tom set the fan on the coffee table.Tom put on his gloves.Tom picked up his fan from the floor.,implausible
Tom sat by the window.Tom picked up his fan from the floor.Tom set the fan on the coffee table.Tom put on his gloves.Tom opened the door and went out the house.,plausible
Mary read reviews of the book.Mary searched the title of the book on the Internet.Mary took the book and used her pen to scribble out out every word in it.Mary stapled all the pages of the book together.Mary put the book down and watched funny animal videos on her laptop.,implausible
Mary searched the title of the book on the Internet.Mary read reviews of the book.Mary took the book and used her pen to scribble out out every word in it.Mary stapled all the pages of the book together.Mary put the book down and watched funny animal videos on her laptop.,implausible
Mary searched the title of the book on the Internet.Mary read reviews of the book.Mary took the book and used her pen to scribble out out every word in it.Mary put the book down and watched funny animal videos on her laptop.Mary stapled all the pages of the book together.,implausible
Mary searched the title of the book on the Internet.Mary read reviews of the book.Mary took the book and used her pen to scribble out out every word in it.Mary stapled all the pages of the book together.Mary put the book down and watched funny animal videos on her laptop.,implausible
Mary searched the title of the book on the Internet.Mary read reviews of the book.Mary stapled all the pages of the book together.Mary took the book and used her pen to scribble out out every word in it.Mary put the book down and watched funny animal videos on her laptop.,implausible
Mary searched the title of the book on the Internet.Mary read reviews of the book.Mary took the book and used her pen to scribble out out every word in it.Mary stapled all the pages of the book together.Mary put the book down and watched funny animal videos on her laptop.,implausible
Mary ate the last apple.Mary ate the last orange.Mary put the donut on a plate.Mary ate the donut and cake with a folk.Mary put the cake on a plate.,implausible
Mary ate the last apple.Mary ate the last orange.Mary put the donut on a plate.Mary put the cake on a plate.Mary ate the donut and cake with a folk.,implausible
Mary ate the last apple.Mary ate the last orange.Mary ate the donut and cake with a folk.Mary put the cake on a plate.Mary put the donut on a plate.,implausible
Mary ate the last apple.Mary ate the last orange.Mary put the donut on a plate.Mary put the cake on a plate.Mary ate the donut and cake with a folk.,implausible
Tom is leaving home to work.Tom backs his car out of the garage.Tom presses the button to open his garage door.Tom clicks the button from his car to close the garage door.Tom drove the car to the street.,plausible
Tom is leaving home to work.Tom presses the button to open his garage door.Tom backs his car out of the garage.Tom clicks the button from his car to close the garage door.Tom drove the car to the street.,implausible
Tom is leaving home to work.Tom presses the button to open his garage door.Tom backs his car out of the garage.Tom drove the car to the street.Tom clicks the button from his car to close the garage door.,implausible
Tom is leaving home to work.Tom presses the button to open his garage door.Tom backs his car out of the garage.Tom clicks the button from his car to close the garage door.Tom drove the car to the street.,implausible
Tom is leaving home to work.Tom presses the button to open his garage door.Tom drove the car to the street.Tom clicks the button from his car to close the garage door.Tom backs his car out of the garage.,implausible
Tom is leaving home to work.Tom presses the button to open his garage door.Tom backs his car out of the garage.Tom clicks the button from his car to close the garage door.Tom drove the car to the street.,implausible
Tom drove the car to the street.Tom presses the button to open his garage door.Tom backs his car out of the garage.Tom clicks the button from his car to close the garage door.Tom is leaving home to work.,implausible
Tom is leaving home to work.Tom presses the button to open his garage door.Tom backs his car out of the garage.Tom clicks the button from his car to close the garage door.Tom drove the car to the street.,implausible
"John love to take his dog, Jake, to the dog park to play fetch with a tennis ball.John lets Jake pull him along on his skateboard and Jake loves it.John put on his favorite shoes and shorts and put a leash on Jake.John stops at the fence and watches a bunch of kids playing on the swings.John takes Jake over to the dog section of the park and throws the tennis ball.",plausible
"John love to take his dog, Jake, to the dog park to play fetch with a tennis ball.John put on his favorite shoes and shorts and put a leash on Jake.John lets Jake pull him along on his skateboard and Jake loves it.John stops at the fence and watches a bunch of kids playing on the swings.John takes Jake over to the dog section of the park and throws the tennis ball.",plausible
"John love to take his dog, Jake, to the dog park to play fetch with a tennis ball.John takes Jake over to the dog section of the park and throws the tennis ball.John lets Jake pull him along on his skateboard and Jake loves it.John stops at the fence and watches a bunch of kids playing on the swings.John put on his favorite shoes and shorts and put a leash on Jake.",implausible
"John love to take his dog, Jake, to the dog park to play fetch with a tennis ball.John put on his favorite shoes and shorts and put a leash on Jake.John lets Jake pull him along on his skateboard and Jake loves it.John stops at the fence and watches a bunch of kids playing on the swings.John takes Jake over to the dog section of the park and throws the tennis ball.",plausible
"John takes Jake over to the dog section of the park and throws the tennis ball.John put on his favorite shoes and shorts and put a leash on Jake.John lets Jake pull him along on his skateboard and Jake loves it.John stops at the fence and watches a bunch of kids playing on the swings.John love to take his dog, Jake, to the dog park to play fetch with a tennis ball.",implausible
"John love to take his dog, Jake, to the dog park to play fetch with a tennis ball.John put on his favorite shoes and shorts and put a leash on Jake.John lets Jake pull him along on his skateboard and Jake loves it.John stops at the fence and watches a bunch of kids playing on the swings.John takes Jake over to the dog section of the park and throws the tennis ball.",plausible
Mary cut the shelf into pieces with the chainsaw.Mary knocked the shelf down with a hammer.Mary picked up a chainsaw.Mary took a box from the shelf.Mary put the box in her car.,implausible
Mary took a box from the shelf.Mary knocked the shelf down with a hammer.Mary picked up a chainsaw.Mary cut the shelf into pieces with the chainsaw.Mary put the box in her car.,plausible
Mary took a box from the shelf.Mary cut the shelf into pieces with the chainsaw.Mary picked up a chainsaw.Mary knocked the shelf down with a hammer.Mary put the box in her car.,implausible
Mary took a box from the shelf.Mary knocked the shelf down with a hammer.Mary picked up a chainsaw.Mary cut the shelf into pieces with the chainsaw.Mary put the box in her car.,plausible
Mary took a box from the shelf.Mary knocked the shelf down with a hammer.Mary cut the shelf into pieces with the chainsaw.Mary picked up a chainsaw.Mary put the box in her car.,implausible
Mary took a box from the shelf.Mary knocked the shelf down with a hammer.Mary picked up a chainsaw.Mary cut the shelf into pieces with the chainsaw.Mary put the box in her car.,plausible
Mary put the box in her car.Mary knocked the shelf down with a hammer.Mary picked up a chainsaw.Mary cut the shelf into pieces with the chainsaw.Mary took a box from the shelf.,implausible
Mary took a box from the shelf.Mary knocked the shelf down with a hammer.Mary picked up a chainsaw.Mary cut the shelf into pieces with the chainsaw.Mary put the box in her car.,plausible
"Tom preheated the oven.Tom ate the cake for dinner.Tom cut up an orange with a knife.Tom put the cake batter into the oven.Tom washed the batter bowl in the sink.Tom used a spoon to mix egg milk, butter, flour and some other things to make cake batter.",implausible
"Tom preheated the oven.Tom used a spoon to mix egg milk, butter, flour and some other things to make cake batter.Tom cut up an orange with a knife.Tom put the cake batter into the oven.Tom washed the batter bowl in the sink.Tom ate the cake for dinner.",plausible
"Tom put the cake batter into the oven.Tom used a spoon to mix egg milk, butter, flour and some other things to make cake batter.Tom cut up an orange with a knife.Tom preheated the oven.Tom washed the batter bowl in the sink.Tom ate the cake for dinner.",implausible
"Tom preheated the oven.Tom used a spoon to mix egg milk, butter, flour and some other things to make cake batter.Tom cut up an orange with a knife.Tom put the cake batter into the oven.Tom washed the batter bowl in the sink.Tom ate the cake for dinner.",plausible
"Tom preheated the oven.Tom put the cake batter into the oven.Tom cut up an orange with a knife.Tom used a spoon to mix egg milk, butter, flour and some other things to make cake batter.Tom washed the batter bowl in the sink.Tom ate the cake for dinner.",plausible
"Tom preheated the oven.Tom used a spoon to mix egg milk, butter, flour and some other things to make cake batter.Tom cut up an orange with a knife.Tom put the cake batter into the oven.Tom washed the batter bowl in the sink.Tom ate the cake for dinner.",plausible
"Tom preheated the oven.Tom used a spoon to mix egg milk, butter, flour and some other things to make cake batter.Tom cut up an orange with a knife.Tom ate the cake for dinner.Tom washed the batter bowl in the sink.Tom put the cake batter into the oven.",implausible
"Tom preheated the oven.Tom used a spoon to mix egg milk, butter, flour and some other things to make cake batter.Tom cut up an orange with a knife.Tom put the cake batter into the oven.Tom washed the batter bowl in the sink.Tom ate the cake for dinner.",plausible
"Mike placed his toolbox on the bottom shelf.Mike built the garage shelf.Mike placed the scissors, wrench and axe on the middle shelf.Mike put the rope in the bucket and placed it on the floor.Mike placed an empty box by the shelf for garbage.Mike parked his bicycle, car and lawnmower in the garage.",implausible
"Mike built the garage shelf.Mike placed his toolbox on the bottom shelf.Mike placed the scissors, wrench and axe on the middle shelf.Mike put the rope in the bucket and placed it on the floor.Mike placed an empty box by the shelf for garbage.Mike parked his bicycle, car and lawnmower in the garage.",implausible
"Mike placed the scissors, wrench and axe on the middle shelf.Mike placed his toolbox on the bottom shelf.Mike built the garage shelf.Mike put the rope in the bucket and placed it on the floor.Mike placed an empty box by the shelf for garbage.Mike parked his bicycle, car and lawnmower in the garage.",implausible
"Mike built the garage shelf.Mike placed his toolbox on the bottom shelf.Mike placed the scissors, wrench and axe on the middle shelf.Mike put the rope in the bucket and placed it on the floor.Mike placed an empty box by the shelf for garbage.Mike parked his bicycle, car and lawnmower in the garage.",implausible
"Mike placed an empty box by the shelf for garbage.Mike placed his toolbox on the bottom shelf.Mike placed the scissors, wrench and axe on the middle shelf.Mike put the rope in the bucket and placed it on the floor.Mike built the garage shelf.Mike parked his bicycle, car and lawnmower in the garage.",implausible
"Mike built the garage shelf.Mike placed his toolbox on the bottom shelf.Mike placed the scissors, wrench and axe on the middle shelf.Mike put the rope in the bucket and placed it on the floor.Mike placed an empty box by the shelf for garbage.Mike parked his bicycle, car and lawnmower in the garage.",implausible
Ann took off her shoes.Ann opened the door.Ann unplugged the TV from the power outlet.Ann sat on the couch.Ann played with the playing cards.,plausible
Ann opened the door.Ann took off her shoes.Ann unplugged the TV from the power outlet.Ann sat on the couch.Ann played with the playing cards.,plausible
Ann sat on the couch.Ann took off her shoes.Ann unplugged the TV from the power outlet.Ann opened the door.Ann played with the playing cards.,implausible
Ann opened the door.Ann took off her shoes.Ann unplugged the TV from the power outlet.Ann sat on the couch.Ann played with the playing cards.,plausible
Mike moved his car to the street so he could make room.Mike grabbed a wrench.Mike searched through the toolbox.Mike used the wrench to remove a panel from the lawnmower.Mike used a screwdriver to remove another panel.Mike found a foreign object inside the machine and removed it with his hand.,implausible
Mike moved his car to the street so he could make room.Mike searched through the toolbox.Mike grabbed a wrench.Mike used the wrench to remove a panel from the lawnmower.Mike used a screwdriver to remove another panel.Mike found a foreign object inside the machine and removed it with his hand.,implausible
Mike moved his car to the street so he could make room.Mike searched through the toolbox.Mike used the wrench to remove a panel from the lawnmower.Mike grabbed a wrench.Mike used a screwdriver to remove another panel.Mike found a foreign object inside the machine and removed it with his hand.,implausible
Mike moved his car to the street so he could make room.Mike searched through the toolbox.Mike grabbed a wrench.Mike used the wrench to remove a panel from the lawnmower.Mike used a screwdriver to remove another panel.Mike found a foreign object inside the machine and removed it with his hand.,implausible
Mike moved his car to the street so he could make room.Mike searched through the toolbox.Mike grabbed a wrench.Mike found a foreign object inside the machine and removed it with his hand.Mike used a screwdriver to remove another panel.Mike used the wrench to remove a panel from the lawnmower.,implausible
Mike moved his car to the street so he could make room.Mike searched through the toolbox.Mike grabbed a wrench.Mike used the wrench to remove a panel from the lawnmower.Mike used a screwdriver to remove another panel.Mike found a foreign object inside the machine and removed it with his hand.,implausible
Sarah took the book to the copier.The book was on the table.Sarah copied a few pages and used the stapler to keep them together.Sarah put the pages inside her notebook.Sarah put the notebook next to the keyboard.,implausible
The book was on the table.Sarah took the book to the copier.Sarah copied a few pages and used the stapler to keep them together.Sarah put the pages inside her notebook.Sarah put the notebook next to the keyboard.,implausible
The book was on the table.Sarah took the book to the copier.Sarah put the pages inside her notebook.Sarah copied a few pages and used the stapler to keep them together.Sarah put the notebook next to the keyboard.,implausible
The book was on the table.Sarah took the book to the copier.Sarah copied a few pages and used the stapler to keep them together.Sarah put the pages inside her notebook.Sarah put the notebook next to the keyboard.,implausible
Sarah copied a few pages and used the stapler to keep them together.Sarah took the book to the copier.The book was on the table.Sarah put the pages inside her notebook.Sarah put the notebook next to the keyboard.,implausible
The book was on the table.Sarah took the book to the copier.Sarah copied a few pages and used the stapler to keep them together.Sarah put the pages inside her notebook.Sarah put the notebook next to the keyboard.,implausible
The book was on the table.Sarah copied a few pages and used the stapler to keep them together.Sarah took the book to the copier.Sarah put the pages inside her notebook.Sarah put the notebook next to the keyboard.,implausible
The book was on the table.Sarah took the book to the copier.Sarah copied a few pages and used the stapler to keep them together.Sarah put the pages inside her notebook.Sarah put the notebook next to the keyboard.,implausible
John places the stapler on the edge of desk.John opens the door to his office desk and picks up a stapler.The stapler falls on to the floor.The stapler breaks into two pieces with the loose staples spread all over the floor.John picks up the staples.,implausible
John opens the door to his office desk and picks up a stapler.John places the stapler on the edge of desk.The stapler falls on to the floor.The stapler breaks into two pieces with the loose staples spread all over the floor.John picks up the staples.,implausible
